"날짜","시간","측정소명","수온","pH","용존산소","총질소","총인","총유기탄소","페놀","시안"
"20250802","12:00","중랑천","28.2","7.1","9.4","3.975","0.100","3.2","0.000","0.000"
"20250802","12:00","안양천","30.7","7.0","8.4","9.310","0.170","5.3","0.000","0.000"
"20250802","12:00","선유","30.2","7.4","8.1","4.460","0.085","2.4","0.000","0.000"
"20250802","11:00","탄천","29.2","7.3","8.5","3.225","0.080","4.7","0.000","0.000"
"20250802","11:00","중랑천","28.0","7.0","9.0","4.025","0.105","3.3","0.000","0.000"
"20250802","11:00","안양천","29.8","7.0","8.8","9.140","0.135","5.2","0.000","0.000"
"20250802","11:00","선유","29.8","7.3","8.1","3.890","0.080","2.7","0.000","0.000"
"20250802","10:00","탄천","28.8","7.1","8.5","3.500","0.080","4.0","0.000","0.000"
"20250802","10:00","중랑천","27.9","7.0","8.4","4.000","0.100","2.9","0.000","0.000"
"20250802","10:00","안양천","28.9","6.9","9.1","9.220","0.175","5.2","0.000","0.000"
"20250802","10:00","선유","29.5","7.4","8.1","4.710","0.071","3.3","0.000","0.000"
"20250802","09:00","탄천","28.5","7.0","8.5","3.725","0.080","4.0","0.000","0.000"
"20250802","09:00","중랑천","27.9","7.0","8.1","3.975","0.105","3.0","0.000","0.000"
"20250802","09:00","안양천","28.1","6.9","7.6","9.090","0.095","5.0","0.000","0.000"
"20250802","09:00","선유","29.4","7.3","8.2","4.530","0.085","2.5","0.000","0.000"
"20250802","08:00","탄천","28.2","6.9","8.4","3.775","0.085","4.0","0.000","0.000"
"20250802","08:00","중랑천","28.0","7.0","7.8","4.050","0.105","3.3","0.000","0.000"
"20250802","08:00","안양천","27.9","6.8","6.0","9.510","0.100","5.0","0.000","0.000"
"20250802","08:00","선유","29.4","7.4","8.2","4.600","0.082","2.9","0.000","0.000"
"20250802","07:00","탄천","28.2","6.9","8.3","4.225","0.095","4.9","0.000","0.000"
"20250802","07:00","중랑천","28.2","7.0","7.8","4.125","0.100","2.9","0.000","0.000"
"20250802","07:00","안양천","27.7","6.8","5.7","7.840","0.110","5.1","0.000","0.000"
"20250802","07:00","선유","29.4","7.3","8.1","4.550","0.075","2.0","0.000","0.000"
"20250802","06:00","탄천","28.3","6.9","8.3","4.400","0.100","3.8","0.000","0.000"
"20250802","06:00","중랑천","28.4","7.0","7.9","4.100","0.100","3.0","0.000","0.000"
"20250802","06:00","안양천","28.0","6.8","5.3","9.120","0.120","5.1","0.000","0.000"
"20250802","06:00","선유","29.4","7.4","8.1","4.600","0.093","2.5","0.000","0.000"
"20250802","05:00","탄천","28.4","6.9","8.3","4.525","0.105","4.2","0.000","0.000"
"20250802","05:00","중랑천","28.7","7.1","8.1","4.200","0.100","2.9","0.000","0.000"
"20250802","05:00","안양천","28.1","6.9","5.8","8.070","0.105","5.0","0.000","0.000"
"20250802","05:00","선유","29.4","7.4","8.1","0.000","0.101","3.1","0.000","0.000"
"20250802","04:00","탄천","28.6","6.9","8.3","4.625","0.105","4.2","0.000","0.000"
"20250802","04:00","중랑천","29.0","7.2","8.3","4.200","0.100","3.3","0.000","0.000"
"20250802","04:00","안양천","28.5","6.9","6.0","8.280","0.095","5.1","0.000","0.000"
"20250802","04:00","선유","29.5","7.4","8.1","0.000","0.095","2.6","0.000","0.000"
"20250802","03:00","탄천","28.7","6.9","8.2","4.825","0.105","4.2","0.000","0.000"
"20250802","03:00","중랑천","29.3","7.4","8.5","4.250","0.100","3.4","0.000","0.000"
"20250802","03:00","안양천","28.8","6.9","6.3","7.510","0.110","5.1","0.000","0.000"
"20250802","03:00","선유","29.6","7.4","8.1","4.640","0.105","2.6","0.000","0.000"
"20250802","02:00","탄천","28.9","6.9","8.2","4.750","0.100","4.3","0.000","0.000"
"20250802","02:00","중랑천","29.5","7.5","8.8","4.350","0.100","3.3","0.000","0.000"
"20250802","02:00","안양천","29.1","7.0","6.7","7.410","0.110","5.3","0.000","0.000"
"20250802","02:00","선유","29.6","7.4","8.3","4.640","0.091","2.9","0.000","0.000"
"20250802","01:00","탄천","29.1","6.9","8.2","4.875","0.100","4.5","0.000","0.000"
"20250802","01:00","중랑천","29.6","7.6","9.1","4.375","0.105","3.5","0.000","0.000"
"20250802","01:00","안양천","29.5","7.0","6.9","6.970","0.115","5.1","0.000","0.000"
"20250802","01:00","선유","29.7","7.4","8.2","4.530","0.096","2.2","0.000","0.000"
"20250801","24:00","탄천","29.3","7.0","8.3","4.525","0.095","3.8","0.000","0.000"
"20250801","24:00","중랑천","29.8","7.7","9.3","4.450","0.105","4.0","0.000","0.000"
"20250801","24:00","안양천","29.6","7.0","7.3","6.960","0.130","5.4","0.000","0.000"
"20250801","24:00","선유","29.8","7.5","8.3","4.590","0.089","2.8","0.000","0.000"
"20250801","23:00","탄천","29.6","7.0","8.2","4.525","0.100","4.0","0.000","0.000"
"20250801","23:00","중랑천","30.0","7.7","9.5","4.450","0.105","3.6","0.000","0.000"
"20250801","23:00","안양천","30.1","7.1","7.5","6.730","0.125","5.1","0.000","0.000"
"20250801","23:00","선유","29.7","7.4","8.3","4.580","0.096","2.7","0.000","0.000"
"20250801","22:00","탄천","29.8","7.1","8.3","4.525","0.100","3.7","0.000","0.000"
"20250801","22:00","중랑천","30.3","7.8","9.6","4.300","0.105","4.0","0.000","0.000"
"20250801","22:00","안양천","30.3","7.2","8.0","7.000","0.145","5.2","0.000","0.000"
"20250801","22:00","선유","29.7","7.4","8.3","4.690","0.097","2.6","0.000","0.000"
"20250801","21:00","탄천","30.1","7.1","8.3","4.375","0.100","4.2","0.000","0.000"
"20250801","21:00","중랑천","30.4","7.8","9.8","4.325","0.105","4.3","0.000","0.000"
"20250801","21:00","안양천","30.8","7.3","8.3","6.940","0.135","5.1","0.000","0.000"
"20250801","21:00","선유","29.7","7.4","8.3","4.740","0.100","2.6","0.000","0.000"
"20250801","20:00","탄천","30.5","7.2","8.4","4.275","0.100","4.3","0.000","0.000"
"20250801","20:00","중랑천","30.6","7.9","9.9","4.375","0.105","4.4","0.000","0.000"
"20250801","20:00","안양천","31.1","7.4","8.3","7.190","0.135","5.1","0.000","0.000"
"20250801","20:00","선유","29.6","7.4","8.4","5.020","0.100","2.8","0.000","0.000"
"20250801","19:00","탄천","30.9","7.4","8.4","4.200","0.100","4.8","0.000","0.000"
"20250801","19:00","중랑천","30.5","7.9","10.1","4.350","0.105","4.0","0.000","0.000"
"20250801","19:00","안양천","31.7","7.5","8.1","9.230","0.145","5.1","0.000","0.000"
"20250801","19:00","선유","29.7","7.4","8.4","4.650","0.113","2.5","0.000","0.000"
"20250801","18:00","탄천","31.4","7.6","8.5","3.950","0.105","4.5","0.000","0.000"
"20250801","18:00","중랑천","30.4","7.9","10.1","4.225","0.105","4.1","0.000","0.000"
"20250801","18:00","안양천","31.9","7.6","8.1","7.920","0.175","5.2","0.000","0.000"
"20250801","18:00","선유","29.8","7.5","8.3","4.600","0.112","4.0","0.000","0.000"
"20250801","17:00","탄천","31.7","7.7","8.5","4.050","0.115","4.4","0.000","0.000"
"20250801","17:00","중랑천","30.2","7.8","10.2","4.125","0.105","4.2","0.000","0.000"
"20250801","17:00","안양천","32.3","7.6","8.0","10.800","0.150","5.4","0.000","0.000"
"20250801","17:00","선유","29.7","7.4","8.3","5.110","0.114","2.6","0.000","0.000"
"20250801","16:00","탄천","31.9","7.8","8.5","3.925","0.115","4.8","0.000","0.000"
"20250801","16:00","중랑천","29.9","7.7","10.2","4.150","0.105","4.1","0.000","0.000"
"20250801","16:00","안양천","32.3","7.6","8.0","7.790","0.165","5.1","0.000","0.000"
"20250801","16:00","선유","29.8","7.4","8.3","5.080","0.119","2.7","0.000","0.000"
"20250801","15:00","탄천","31.9","7.8","8.6","3.975","0.115","4.4","0.000","0.000"
"20250801","15:00","중랑천","29.5","7.6","10.2","4.125","0.105","4.3","0.000","0.000"
"20250801","15:00","안양천","33.4","7.6","7.7","8.550","0.200","5.2","0.000","0.000"
"20250801","15:00","선유","점검중","점검중","점검중","점검중","점검중","점검중","0.000","0.000"
"20250801","14:00","탄천","31.5","7.8","8.7","3.750","0.100","4.2","0.000","0.000"
"20250801","14:00","중랑천","29.2","7.5","10.1","4.025","0.105","3.8","0.000","0.000"
"20250801","14:00","안양천","32.4","7.4","8.0","7.690","0.325","5.1","0.000","0.000"
"20250801","14:00","선유","점검중","점검중","점검중","점검중","점검중","점검중","0.000","0.000"
"20250801","13:00","탄천","30.9","7.7","8.7","3.675","0.100","4.4","0.000","0.000"
"20250801","13:00","중랑천","28.6","7.3","9.9","3.925","0.105","3.4","0.000","0.000"
"20250801","13:00","안양천","31.6","7.2","8.2","8.790","0.585","5.3","0.000","0.000"
"20250801","13:00","선유","점검중","점검중","점검중","점검중","점검중","점검중","0.000","0.000"
"20250801","12:00","탄천","30.1","7.6","8.8","3.525","0.085","4.2","0.000","0.000"
"20250801","12:00","중랑천","28.2","7.2","9.6","3.850","0.105","3.3","0.000","0.000"
"20250801","12:00","안양천","30.4","7.0","8.5","8.100","0.290","5.1","0.000","0.000"
"20250801","12:00","선유","점검중","점검중","점검중","점검중","점검중","점검중","0.000","0.000"
"20250801","11:00","탄천","29.2","7.4","8.9","3.750","0.080","4.0","0.000","0.000"
"20250801","11:00","중랑천","27.8","7.1","9.2","3.775","0.105","3.3","0.000","0.000"
"20250801","11:00","안양천","29.9","7.0","8.7","9.270","0.755","5.3","0.000","0.000"
"20250801","11:00","선유","점검중","점검중","점검중","점검중","점검중","점검중","0.000","0.000"
"20250801","10:00","탄천","28.5","7.2","8.9","3.850","0.080","4.2","0.000","0.000"
"20250801","10:00","중랑천","27.6","7.1","8.7","3.850","0.105","3.0","0.000","0.000"
"20250801","10:00","안양천","28.8","6.9","8.9","10.210","2.670","5.8","0.000","0.000"
"20250801","10:00","선유","점검중","점검중","점검중","점검중","점검중","점검중","0.000","0.000"
"20250801","09:00","탄천","27.9","7.1","8.9","4.150","0.080","4.0","0.000","0.000"
"20250801","09:00","중랑천","27.5","7.1","8.3","3.800","0.105","3.0","0.000","0.000"
"20250801","09:00","안양천","28.0","6.9","7.3","9.460","0.090","5.1","0.000","0.000"
"20250801","09:00","선유","점검중","점검중","점검중","점검중","점검중","점검중","0.000","0.000"
"20250801","08:00","탄천","27.7","7.0","8.8","4.300","0.080","4.2","0.000","0.000"
"20250801","08:00","중랑천","27.6","7.1","8.1","3.825","0.105","4.2","0.000","0.000"
"20250801","08:00","안양천","27.6","6.8","6.4","8.950","0.090","5.1","0.000","0.000"
"20250801","08:00","선유","점검중","점검중","점검중","점검중","점검중","점검중","0.000","0.000"
"20250801","07:00","탄천","27.7","6.9","8.7","4.525","0.085","4.2","0.000","0.000"
"20250801","07:00","중랑천","27.8","7.1","8.1","3.975","0.125","2.9","0.000","0.000"
"20250801","07:00","안양천","27.5","6.8","6.0","9.300","0.105","5.1","0.000","0.000"
"20250801","07:00","선유","점검중","점검중","점검중","점검중","점검중","점검중","0.000","0.000"
"20250801","06:00","탄천","27.8","6.9","8.7","4.850","0.095","4.2","0.000","0.000"
"20250801","06:00","중랑천","28.0","7.2","8.2","4.000","0.105","3.2","0.000","0.000"
"20250801","06:00","안양천","27.8","6.8","5.7","8.930","0.105","5.1","0.000","0.000"
"20250801","06:00","선유","점검중","점검중","점검중","점검중","점검중","점검중","0.000","0.000"
"20250801","05:00","탄천","27.9","6.9","8.7","4.975","0.100","4.2","0.000","0.000"
"20250801","05:00","중랑천","28.2","7.3","8.4","4.000","0.105","3.0","0.000","0.000"
"20250801","05:00","안양천","28.0","6.9","6.1","9.000","0.110","5.1","0.000","0.000"
"20250801","05:00","선유","점검중","점검중","점검중","점검중","점검중","점검중","0.000","0.000"
"20250801","04:00","탄천","28.1","6.9","8.6","5.100","0.100","4.4","0.000","0.000"
"20250801","04:00","중랑천","28.4","7.4","8.6","4.025","0.110","3.2","0.000","0.000"
"20250801","04:00","안양천","28.3","6.9","6.3","7.860","0.120","5.2","0.000","0.000"
"20250801","04:00","선유","점검중","점검중","점검중","점검중","점검중","점검중","0.000","0.000"
"20250801","03:00","탄천","28.2","6.9","8.6","5.300","0.085","4.0","0.000","0.000"
"20250801","03:00","중랑천","28.7","7.5","8.9","4.150","0.120","3.3","0.000","0.000"
"20250801","03:00","안양천","28.4","6.9","6.8","7.430","0.125","5.0","0.000","0.000"
"20250801","03:00","선유","점검중","점검중","점검중","점검중","점검중","점검중","0.000","0.000"
"20250801","02:00","탄천","28.4","6.9","8.6","5.075","0.080","4.2","0.000","0.000"
"20250801","02:00","중랑천","28.9","7.6","9.1","4.150","0.105","3.4","0.000","0.000"
"20250801","02:00","안양천","28.7","7.0","7.0","6.860","0.130","5.0","0.000","0.000"
"20250801","02:00","선유","점검중","점검중","점검중","점검중","점검중","점검중","0.000","0.000"
"20250801","01:00","탄천","28.7","6.9","8.6","4.950","0.085","4.0","0.000","0.000"
"20250801","01:00","중랑천","29.1","7.7","9.4","4.250","0.110","3.5","0.000","0.000"
"20250801","01:00","안양천","28.8","7.0","7.5","6.510","0.125","5.0","0.000","0.000"
"20250801","01:00","선유","점검중","점검중","점검중","점검중","점검중","점검중","0.000","0.000"
"20250731","24:00","탄천","28.9","7.0","8.6","4.950","0.080","3.8","0.000","0.000"
"20250731","24:00","중랑천","29.3","7.8","9.6","4.325","0.110","3.5","0.000","0.000"
"20250731","24:00","안양천","29.1","7.1","7.7","6.280","0.135","5.0","0.000","0.000"
"20250731","24:00","선유","점검중","점검중","점검중","점검중","점검중","점검중","0.000","0.000"
"20250731","23:00","탄천","29.2","7.0","8.6","4.750","0.085","3.8","0.000","0.000"
"20250731","23:00","중랑천","29.5","7.8","9.7","4.350","0.110","3.6","0.000","0.000"
"20250731","23:00","안양천","29.1","7.1","8.2","5.550","0.130","5.0","0.000","0.000"
"20250731","23:00","선유","점검중","점검중","점검중","점검중","점검중","점검중","0.000","0.000"
"20250731","22:00","탄천","29.6","7.1","8.7","4.775","0.095","3.8","0.000","0.000"
"20250731","22:00","중랑천","29.7","7.9","9.9","4.375","0.125","3.7","0.000","0.000"
"20250731","22:00","안양천","29.6","7.2","8.5","6.510","0.160","5.3","0.000","0.000"
"20250731","22:00","선유","점검중","점검중","점검중","점검중","점검중","점검중","0.000","0.000"
"20250731","21:00","탄천","29.8","7.1","7.1","4.750","0.080","3.8","0.000","0.000"
"20250731","21:00","중랑천","29.7","7.9","10.1","4.400","0.120","4.0","0.000","0.000"
"20250731","21:00","안양천","29.6","7.3","9.0","5.960","0.185","5.2","0.000","0.000"
"20250731","21:00","선유","점검중","점검중","점검중","점검중","점검중","점검중","0.000","0.000"
"20250731","20:00","탄천","29.9","7.2","4.0","4.600","0.080","4.3","0.000","0.000"
"20250731","20:00","중랑천","29.8","8.0","10.2","4.350","0.110","4.2","0.000","0.000"
"20250731","20:00","안양천","30.3","7.5","9.0","6.990","0.290","5.4","0.000","0.000"
"20250731","20:00","선유","점검중","점검중","점검중","점검중","점검중","점검중","0.000","0.000"
"20250731","19:00","탄천","30.2","7.4","4.0","4.400","0.095","4.2","0.000","0.000"
"20250731","19:00","중랑천","29.8","8.0","10.3","4.350","0.110","4.2","0.000","0.000"
"20250731","19:00","안양천","30.6","7.5","8.9","6.540","0.595","5.1","0.000","0.000"
"20250731","19:00","선유","점검중","점검중","점검중","점검중","점검중","점검중","0.000","0.000"
"20250731","18:00","탄천","30.6","7.6","4.0","4.300","0.100","4.8","0.000","0.000"
"20250731","18:00","중랑천","29.7","7.9","10.4","4.200","0.110","4.4","0.000","0.000"
"20250731","18:00","안양천","30.9","7.6","8.8","7.430","1.705","5.1","0.000","0.000"
"20250731","18:00","선유","점검중","점검중","점검중","점검중","점검중","점검중","0.000","0.000"
"20250731","17:00","탄천","31.0","7.7","4.0","4.450","0.105","4.2","0.000","0.000"
"20250731","17:00","중랑천","29.5","7.8","10.4","4.200","0.110","4.2","0.000","0.000"
"20250731","17:00","안양천","31.2","7.5","8.6","7.510","0.520","5.2","0.000","0.000"
"20250731","17:00","선유","점검중","점검중","점검중","점검중","점검중","점검중","0.000","0.000"
"20250731","16:00","탄천","31.2","7.7","4.1","4.300","0.115","4.2","0.000","0.000"
"20250731","16:00","중랑천","29.4","7.8","10.3","4.075","0.120","4.2","0.000","0.000"
"20250731","16:00","안양천","31.3","7.5","8.6","7.900","0.115","5.1","0.000","0.000"
"20250731","16:00","선유","점검중","점검중","점검중","점검중","점검중","점검중","0.000","0.000"
"20250731","15:00","탄천","31.2","7.7","4.1","4.325","0.120","4.7","0.000","0.000"
"20250731","15:00","중랑천","29.1","7.7","10.2","4.050","0.110","3.7","0.000","0.000"
"20250731","15:00","안양천","31.7","7.5","8.5","7.820","0.115","5.2","0.000","0.000"
"20250731","15:00","선유","점검중","점검중","점검중","점검중","점검중","점검중","0.000","0.000"
"20250731","14:00","중랑천","28.8","7.5","10.0","3.975","0.125","4.1","0.000","0.000"
"20250731","14:00","안양천","31.0","7.3","8.7","8.130","0.165","5.3","0.000","0.000"
"20250731","14:00","선유","점검중","점검중","점검중","점검중","점검중","점검중","0.000","0.000"
"20250731","09:00","중랑천","28.0","7.1","7.9","3.775","0.105","2.9","0.000","0.000"
"20250731","09:00","안양천","28.1","6.8","6.6","8.720","0.090","5.2","0.000","0.000"
"20250731","09:00","선유","점검중","점검중","점검중","점검중","점검중","점검중","0.000","0.000"
"20250731","08:00","중랑천","28.2","7.2","7.7","3.700","0.105","3.7","0.000","0.000"
"20250731","08:00","안양천","27.8","6.9","6.2","7.350","0.080","5.1","0.000","0.000"
"20250731","08:00","선유","점검중","점검중","점검중","점검중","점검중","점검중","0.000","0.000"
"20250731","07:00","중랑천","28.4","7.2","7.8","3.800","0.110","3.3","0.000","0.000"
"20250731","07:00","안양천","28.1","6.8","5.6","8.460","0.095","5.2","0.000","0.000"
"20250731","07:00","선유","점검중","점검중","점검중","점검중","점검중","점검중","0.000","0.000"
"20250731","06:00","탄천","28.3","6.9","7.4","4.925","0.105","4.2","0.000","0.000"
"20250731","06:00","중랑천","28.7","7.3","7.9","3.850","0.110","3.2","0.000","0.000"
"20250731","06:00","안양천","28.2","6.9","5.8","7.630","0.105","5.3","0.000","0.000"
"20250731","06:00","선유","점검중","점검중","점검중","점검중","점검중","점검중","0.000","0.000"
"20250731","05:00","탄천","28.5","6.9","7.4","4.850","0.115","4.2","0.000","0.000"
"20250731","05:00","중랑천","29.0","7.4","8.1","3.950","0.110","3.3","0.000","0.000"
"20250731","05:00","안양천","28.7","6.9","6.0","7.930","0.105","5.1","0.000","0.000"
"20250731","05:00","선유","점검중","점검중","점검중","점검중","점검중","점검중","0.000","0.000"
"20250731","04:00","탄천","28.6","6.9","7.4","4.925","0.120","4.2","0.000","0.000"
"20250731","04:00","중랑천","29.3","7.6","8.3","3.975","0.105","4.2","0.000","0.000"
"20250731","04:00","안양천","29.1","6.9","6.2","7.150","0.115","5.2","0.000","0.000"
"20250731","04:00","선유","점검중","점검중","점검중","점검중","점검중","점검중","0.000","0.000"
"20250731","03:00","탄천","28.9","6.9","7.4","4.975","0.120","4.2","0.000","0.000"
"20250731","03:00","중랑천","29.5","7.6","8.6","4.150","0.105","3.8","0.000","0.000"
"20250731","03:00","안양천","29.4","7.0","6.7","7.020","0.120","5.3","0.000","0.000"
"20250731","03:00","선유","점검중","점검중","점검중","점검중","점검중","점검중","0.000","0.000"
"20250731","02:00","탄천","29.0","6.9","7.4","5.000","0.120","4.0","0.000","0.000"
"20250731","02:00","중랑천","29.8","7.7","8.8","4.125","0.110","4.2","0.000","0.000"
"20250731","02:00","안양천","29.9","7.0","6.8","6.510","0.115","5.3","0.000","0.000"
"20250731","02:00","선유","점검중","점검중","점검중","점검중","점검중","점검중","0.000","0.000"
"20250731","01:00","탄천","29.2","6.9","7.4","5.075","0.125","4.0","0.000","0.000"
"20250731","01:00","중랑천","30.0","7.8","9.1","4.275","0.110","3.6","0.000","0.000"
"20250731","01:00","안양천","30.1","7.0","7.3","6.570","0.110","5.4","0.000","0.000"
"20250731","01:00","선유","점검중","점검중","점검중","점검중","점검중","점검중","0.000","0.000"
"20250730","24:00","탄천","29.5","6.9","7.4","4.900","0.125","3.7","0.000","0.000"
"20250730","24:00","중랑천","30.3","7.9","9.3","4.275","0.105","3.5","0.000","0.000"
"20250730","24:00","안양천","30.6","7.1","7.6","6.250","0.125","5.5","0.000","0.000"
"20250730","24:00","선유","점검중","점검중","점검중","점검중","점검중","점검중","0.000","0.000"
"20250730","23:00","탄천","29.8","7.0","7.4","4.900","0.140","4.2","0.000","0.000"
"20250730","23:00","중랑천","30.5","7.9","9.4","4.250","0.105","3.6","0.000","0.000"
"20250730","23:00","안양천","30.7","7.2","8.0","6.430","0.130","5.4","0.000","0.000"
"20250730","23:00","선유","점검중","점검중","점검중","점검중","점검중","점검중","0.000","0.000"
"20250730","22:00","탄천","30.2","7.0","7.5","4.850","0.135","4.2","0.000","0.000"
"20250730","22:00","중랑천","30.9","8.0","9.6","4.275","0.120","4.0","0.000","0.000"
"20250730","22:00","안양천","31.1","7.4","8.3","6.460","0.125","5.3","0.000","0.000"
"20250730","22:00","선유","점검중","점검중","점검중","점검중","점검중","점검중","0.000","0.000"
"20250730","21:00","탄천","30.6","7.1","7.6","4.725","0.125","4.2","0.000","0.000"
"20250730","21:00","중랑천","31.0","8.0","9.7","4.375","0.130","3.8","0.000","0.000"
"20250730","21:00","안양천","31.3","7.5","8.6","6.760","0.135","5.3","0.000","0.000"
"20250730","21:00","선유","점검중","점검중","점검중","점검중","점검중","점검중","0.000","0.000"
"20250730","20:00","탄천","31.0","7.3","7.7","4.750","0.125","5.0","0.000","0.000"
"20250730","20:00","중랑천","31.2","8.0","9.8","4.375","0.120","4.0","0.000","0.000"
"20250730","20:00","안양천","31.9","7.6","8.4","7.030","0.125","5.1","0.000","0.000"
"20250730","20:00","선유","점검중","점검중","점검중","점검중","점검중","점검중","0.000","0.000"
"20250730","19:00","탄천","31.4","7.5","7.8","4.650","0.125","4.5","0.000","0.000"
"20250730","19:00","중랑천","31.3","8.0","9.9","4.300","0.125","4.0","0.000","0.000"
"20250730","19:00","안양천","31.9","7.6","8.4","8.170","0.135","5.4","0.000","0.000"
"20250730","19:00","선유","점검중","점검중","점검중","점검중","점검중","점검중","0.000","0.000"
"20250730","18:00","탄천","31.7","7.7","7.9","4.525","0.125","4.3","0.000","0.000"
"20250730","18:00","중랑천","31.3","8.0","10.0","4.275","0.110","4.7","0.000","0.000"
"20250730","18:00","안양천","32.7","7.7","8.2","8.000","0.125","5.1","0.000","0.000"
"20250730","18:00","선유","점검중","점검중","점검중","점검중","점검중","점검중","0.000","0.000"
"20250730","17:00","탄천","31.9","7.7","7.9","4.450","0.135","4.2","0.000","0.000"
"20250730","17:00","중랑천","31.0","7.9","10.0","4.250","0.120","4.7","0.000","0.000"
"20250730","17:00","안양천","32.7","7.7","8.2","6.700","0.110","5.5","0.000","0.000"
"20250730","17:00","선유","점검중","점검중","점검중","점검중","점검중","점검중","0.000","0.000"
"20250730","16:00","탄천","31.8","7.7","8.0","4.575","0.140","4.2","0.000","0.000"
"20250730","16:00","중랑천","30.7","7.8","10.1","4.275","0.125","4.3","0.000","0.000"
"20250730","16:00","안양천","33.5","7.7","8.0","8.430","0.105","5.1","0.000","0.000"
"20250730","16:00","선유","점검중","점검중","점검중","점검중","점검중","점검중","0.000","0.000"
"20250730","15:00","탄천","31.6","7.6","8.0","4.575","0.140","4.2","0.000","0.000"
"20250730","15:00","중랑천","30.3","7.7","10.0","3.975","0.105","3.7","0.000","0.000"
"20250730","15:00","안양천","33.0","7.6","8.1","7.380","0.105","4.8","0.000","0.000"
"20250730","15:00","선유","점검중","점검중","점검중","점검중","점검중","점검중","0.000","0.000"
"20250730","14:00","탄천","31.4","7.6","8.1","4.600","0.150","4.7","0.000","0.000"
"20250730","14:00","중랑천","29.8","7.6","9.8","3.975","0.105","3.7","0.000","0.000"
"20250730","14:00","안양천","33.2","7.5","8.1","8.320","0.105","4.7","0.000","0.000"
"20250730","14:00","선유","점검중","점검중","점검중","점검중","점검중","점검중","0.000","0.000"
"20250730","13:00","탄천","30.9","7.5","8.1","4.625","0.160","5.3","0.000","0.000"
"20250730","13:00","중랑천","29.4","7.4","9.6","3.875","0.105","3.7","0.000","0.000"
"20250730","13:00","안양천","32.0","7.3","8.3","7.970","0.085","6.1","0.000","0.000"
"20250730","13:00","선유","점검중","점검중","점검중","점검중","점검중","점검중","0.000","0.000"
"20250730","12:00","탄천","30.5","7.4","8.1","4.450","0.150","4.5","0.000","0.000"
"20250730","12:00","중랑천","28.9","7.2","9.2","3.875","0.105","3.5","0.000","0.000"
